scenario,dest,year,nativity,pop
benchmark,FRA,2020,native,59923668
benchmark,FRA,2020,non-eu,6100185
benchmark,FRA,2025,eu,1948566
benchmark,FRA,2025,native,61174062
benchmark,FRA,2025,non-eu,6936517
benchmark,FRA,2030,eu,1810117
benchmark,FRA,2030,native,62555880
benchmark,FRA,2030,non-eu,7945845
benchmark,FRA,2035,eu,1672965
benchmark,FRA,2035,native,64100435
benchmark,FRA,2035,non-eu,9068621
benchmark,FRA,2040,eu,1535561
benchmark,FRA,2040,native,65740133
benchmark,FRA,2040,non-eu,10291166
benchmark,FRA,2045,eu,1397871
benchmark,FRA,2045,native,67410217
benchmark,FRA,2045,non-eu,11640033
benchmark,FRA,2050,eu,1262487
benchmark,FRA,2050,native,69142477
benchmark,FRA,2050,non-eu,13138600
benchmark,GBR,2015,eu,2722330
benchmark,GBR,2015,native,56413157
benchmark,GBR,2015,non-eu,5245532
benchmark,GBR,2020,eu,2672301
benchmark,GBR,2020,native,57485411
benchmark,GBR,2020,non-eu,6220004
benchmark,GBR,2025,eu,2585891
benchmark,GBR,2025,native,58329779
benchmark,GBR,2025,non-eu,7361379
benchmark,GBR,2030,eu,2467172
benchmark,GBR,2030,native,59081249
benchmark,GBR,2030,non-eu,8709643
benchmark,GBR,2035,eu,2334517
benchmark,GBR,2035,native,59841223
benchmark,GBR,2035,non-eu,10304154
benchmark,GBR,2040,eu,2192329
benchmark,GBR,2040,native,60775554
benchmark,GBR,2040,non-eu,12197701
benchmark,GBR,2045,eu,2041470
benchmark,GBR,2045,native,62014680
benchmark,GBR,2045,non-eu,14416332
benchmark,GBR,2050,eu,1883980
benchmark,GBR,2050,native,63559655
benchmark,GBR,2050,non-eu,16959496
benchmark,GRC,2015,eu,317498
benchmark,GRC,2015,native,9615097
benchmark,GRC,2015,non-eu,869052
benchmark,GRC,2020,eu,319002
benchmark,GRC,2020,native,9421004
benchmark,GRC,2020,non-eu,943419
benchmark,GRC,2025,eu,313830
benchmark,GRC,2025,native,9194638
benchmark,GRC,2025,non-eu,1000110
benchmark,GRC,2030,eu,304081
benchmark,GRC,2030,native,8967291
benchmark,GRC,2030,non-eu,1055549
benchmark,GRC,2035,eu,291444
benchmark,GRC,2035,native,8758793
benchmark,GRC,2035,non-eu,1114469
benchmark,GRC,2040,eu,276115
benchmark,GRC,2040,native,8571842
