scenario,dest,year,age,nativity,pop
benchmark,AUT,2035,40,native,439145
benchmark,AUT,2035,40,non-eu,86601
benchmark,AUT,2035,45,eu,55382
benchmark,AUT,2035,45,native,406159
benchmark,AUT,2035,45,non-eu,103110
benchmark,AUT,2035,50,eu,56857
benchmark,AUT,2035,50,native,414547
benchmark,AUT,2035,50,non-eu,99884
benchmark,AUT,2035,55,eu,56555
benchmark,AUT,2035,55,native,381511
benchmark,AUT,2035,55,non-eu,91674
benchmark,AUT,2035,60,eu,52954
benchmark,AUT,2035,60,native,435355
benchmark,AUT,2035,60,non-eu,88714
benchmark,AUT,2035,65,eu,49960
benchmark,AUT,2035,65,native,508066
benchmark,AUT,2035,65,non-eu,81502
benchmark,AUT,2035,70,eu,40465
benchmark,AUT,2035,70,native,489632
benchmark,AUT,2035,70,non-eu,69374
benchmark,AUT,2035,75,eu,32599
benchmark,AUT,2035,75,native,388439
benchmark,AUT,2035,75,non-eu,49799
benchmark,AUT,2035,80,eu,23666
benchmark,AUT,2035,80,native,279062
benchmark,AUT,2035,80,non-eu,35802
benchmark,AUT,2035,85,eu,14022
benchmark,AUT,2035,85,native,198742
benchmark,AUT,2035,85,non-eu,16904
benchmark,AUT,2035,90,eu,7974
benchmark,AUT,2035,90,native,104460
benchmark,AUT,2035,90,non-eu,5939
benchmark,AUT,2035,95,eu,1832
benchmark,AUT,2035,95,native,22665
benchmark,AUT,2035,95,non-eu,2559
benchmark,AUT,2035,100,eu,386
benchmark,AUT,2035,100,native,2629
benchmark,AUT,2035,100,non-eu,1769
benchmark,AUT,2040,0,eu,3138
benchmark,AUT,2040,0,native,336465
benchmark,AUT,2040,0,non-eu,21747
benchmark,AUT,2040,5,eu,6630
benchmark,AUT,2040,5,native,341067
benchmark,AUT,2040,5,non-eu,41051
benchmark,AUT,2040,10,eu,10115
benchmark,AUT,2040,10,native,356859
benchmark,AUT,2040,10,non-eu,55371
benchmark,AUT,2040,15,eu,14491
benchmark,AUT,2040,15,native,376763
benchmark,AUT,2040,15,non-eu,67168
benchmark,AUT,2040,20,eu,17817
benchmark,AUT,2040,20,native,391006
benchmark,AUT,2040,20,non-eu,74894
benchmark,AUT,2040,25,eu,24077
benchmark,AUT,2040,25,native,381408
benchmark,AUT,2040,25,non-eu,76664
benchmark,AUT,2040,30,eu,28557
benchmark,AUT,2040,30,native,367258
benchmark,AUT,2040,30,non-eu,77418
benchmark,AUT,2040,35,eu,28525
benchmark,AUT,2040,35,native,369146
benchmark,AUT,2040,35,non-eu,80117
benchmark,AUT,2040,40,eu,29111
benchmark,AUT,2040,40,native,396986
benchmark,AUT,2040,40,non-eu,85364
benchmark,AUT,2040,45,eu,42342
benchmark,AUT,2040,45,native,436503
benchmark,AUT,2040,45,non-eu,94725
benchmark,AUT,2040,50,eu,52868
benchmark,AUT,2040,50,native,402919
benchmark,AUT,2040,50,non-eu,108562
benchmark,AUT,2040,55,eu,53906
benchmark,AUT,2040,55,native,409360
benchmark,AUT,2040,55,non-eu,103789
benchmark,AUT,2040,60,eu,53524
benchmark,AUT,2040,60,native,374016
benchmark,AUT,2040,60,non-eu,94051
benchmark,AUT,2040,65,eu,49826
benchmark,AUT,2040,65,native,421736
benchmark,AUT,2040,65,non-eu,88287
benchmark,AUT,2040,70,eu,46156
benchmark,AUT,2040,70,native,483559
benchmark,AUT,2040,70,non-eu,78469
benchmark,AUT,2040,75,eu,34636
benchmark,AUT,2040,75,native,457620
benchmark,AUT,2040,75,non-eu,60636
benchmark,AUT,2040,80,eu,26733
benchmark,AUT,2040,80,native,345551
benchmark,AUT,2040,80,non-eu,41629
benchmark,AUT,2040,85,eu,16901
benchmark,AUT,2040,85,native,214815
benchmark,AUT,2040,85,non-eu,26074
benchmark,AUT,2040,90,eu,7416
benchmark,AUT,2040,90,native,112807
benchmark,AUT,2040,90,non-eu,9658
benchmark,AUT,2040,95,eu,2483
benchmark,AUT,2040,95,native,33717
benchmark,AUT,2040,95,non-eu,2930
benchmark,AUT,2040,100,eu,442
benchmark,AUT,2040,100,native,3377
benchmark,AUT,2040,100,non-eu,1812
benchmark,AUT,2045,0,eu,2885
benchmark,AUT,2045,0,native,340124
benchmark,AUT,2045,0,non-eu,25092
benchmark,AUT,2045,5,eu,6023
benchmark,AUT,2045,5,native,335044
benchmark,AUT,2045,5,non-eu,46832
benchmark,AUT,2045,10,eu,9108
benchmark,AUT,2045,10,native,339769
benchmark,AUT,2045,10,non-eu,62441
benchmark,AUT,2045,15,eu,12414
benchmark,AUT,2045,15,native,355542
benchmark,AUT,2045,15,non-eu,74290
benchmark,AUT,2045,20,eu,16456
benchmark,AUT,2045,20,native,375363
benchmark,AUT,2045,20,non-eu,83344
benchmark,AUT,2045,25,eu,19606
benchmark,AUT,2045,25,native,389595
benchmark,AUT,2045,25,non-eu,88949
benchmark,AUT,2045,30,eu,25188
benchmark,AUT,2045,30,native,380454
benchmark,AUT,2045,30,non-eu,89710
benchmark,AUT,2045,35,eu,28974
benchmark,AUT,2045,35,native,366208
benchmark,AUT,2045,35,non-eu,90199
benchmark,AUT,2045,40,eu,28864
benchmark,AUT,2045,40,native,367800
benchmark,AUT,2045,40,non-eu,91278
benchmark,AUT,2045,45,eu,29393
benchmark,AUT,2045,45,native,394982
benchmark,AUT,2045,45,non-eu,95089
benchmark,AUT,2045,50,eu,41087
benchmark,AUT,2045,50,native,433431
benchmark,AUT,2045,50,non-eu,102326
benchmark,AUT,2045,55,eu,50139
benchmark,AUT,2045,55,native,398549
benchmark,AUT,2045,55,non-eu,113372
benchmark,AUT,2045,60,eu,50671
benchmark,AUT,2045,60,native,402421
benchmark,AUT,2045,60,non-eu,106727
benchmark,AUT,2045,65,eu,50008
benchmark,AUT,2045,65,native,364039
benchmark,AUT,2045,65,non-eu,94964
benchmark,AUT,2045,70,eu,46074
benchmark,AUT,2045,70,native,404598
benchmark,AUT,2045,70,non-eu,86205
benchmark,AUT,2045,75,eu,39700
benchmark,AUT,2045,75,native,456926
benchmark,AUT,2045,75,non-eu,68985
benchmark,AUT,2045,80,eu,28625
benchmark,AUT,2045,80,native,414232
benchmark,AUT,2045,80,non-eu,51135
benchmark,AUT,2045,85,eu,19450
benchmark,AUT,2045,85,native,274010
benchmark,AUT,2045,85,non-eu,30960
benchmark,AUT,2045,90,eu,9356
benchmark,AUT,2045,90,native,127778
benchmark,AUT,2045,90,non-eu,14998
benchmark,AUT,2045,95,eu,2504
benchmark,AUT,2045,95,native,39276
benchmark,AUT,2045,95,non-eu,4145
benchmark,AUT,2045,100,eu,542
benchmark,AUT,2045,100,native,5288
benchmark,AUT,2045,100,non-eu,1866
benchmark,AUT,2050,0,eu,2616
benchmark,AUT,2050,0,native,346215
benchmark,AUT,2050,0,non-eu,28881
benchmark,AUT,2050,5,eu,5501
benchmark,AUT,2050,5,native,338861
benchmark,AUT,2050,5,non-eu,53967
benchmark,AUT,2050,10,eu,8259
benchmark,AUT,2050,10,native,333920
benchmark,AUT,2050,10,non-eu,71231
benchmark,AUT,2050,15,eu,11143
benchmark,AUT,2050,15,native,338669
benchmark,AUT,2050,15,non-eu,83863
benchmark,AUT,2050,20,eu,14187
benchmark,AUT,2050,20,native,354381
benchmark,AUT,2050,20,non-eu,92718
benchmark,AUT,2050,25,eu,17920
benchmark,AUT,2050,25,native,374236
benchmark,AUT,2050,25,non-eu,99180
benchmark,AUT,2050,30,eu,20906
benchmark,AUT,2050,30,native,388427
benchmark,AUT,2050,30,non-eu,102934
benchmark,AUT,2050,35,eu,25487
benchmark,AUT,2050,35,native,379703
benchmark,AUT,2050,35,non-eu,103269
benchmark,AUT,2050,40,eu,28952
benchmark,AUT,2050,40,native,365218
benchmark,AUT,2050,40,non-eu,102413
benchmark,AUT,2050,45,eu,28763
benchmark,AUT,2050,45,native,366364
benchmark,AUT,2050,45,non-eu,101868
benchmark,AUT,2050,50,eu,29212
benchmark,AUT,2050,50,native,392647
benchmark,AUT,2050,50,non-eu,104062
benchmark,AUT,2050,55,eu,39468
benchmark,AUT,2050,55,native,429307
benchmark,AUT,2050,55,non-eu,109029
benchmark,AUT,2050,60,eu,47160
benchmark,AUT,2050,60,native,392677
benchmark,AUT,2050,60,non-eu,117121
benchmark,AUT,2050,65,eu,47104
benchmark,AUT,2050,65,native,393249
benchmark,AUT,2050,65,non-eu,108193
benchmark,AUT,2050,70,eu,46061
benchmark,AUT,2050,70,native,351597
benchmark,AUT,2050,70,non-eu,94046
benchmark,AUT,2050,75,eu,39897
benchmark,AUT,2050,75,native,386327
benchmark,AUT,2050,75,non-eu,76779
benchmark,AUT,2050,80,eu,33148
benchmark,AUT,2050,80,native,420523
benchmark,AUT,2050,80,non-eu,58862
benchmark,AUT,2050,85,eu,21253
benchmark,AUT,2050,85,native,338276
benchmark,AUT,2050,85,non-eu,38726
benchmark,AUT,2050,90,eu,11131
benchmark,AUT,2050,90,native,170804
benchmark,AUT,2050,90,non-eu,18277
benchmark,AUT,2050,95,eu,3319
benchmark,AUT,2050,95,native,47275
benchmark,AUT,2050,95,non-eu,6067
benchmark,AUT,2050,100,eu,576
benchmark,AUT,2050,100,native,6687
benchmark,AUT,2050,100,non-eu,2046
benchmark,BEL,2015,0,eu,16430
benchmark,BEL,2015,0,native,619620
benchmark,BEL,2015,0,non-eu,8089
benchmark,BEL,2015,5,eu,31677
benchmark,BEL,2015,5,native,601243
benchmark,BEL,2015,5,non-eu,17790
benchmark,BEL,2015,10,eu,33324
benchmark,BEL,2015,10,native,814825
benchmark,BEL,2015,10,non-eu,24965
benchmark,BEL,2015,15,eu,29626
benchmark,BEL,2015,15,native,468571
benchmark,BEL,2015,15,non-eu,37521
benchmark,BEL,2015,20,eu,45411
benchmark,BEL,2015,20,native,533363
benchmark,BEL,2015,20,non-eu,50894
benchmark,BEL,2015,25,eu,64349
benchmark,BEL,2015,25,native,549809
benchmark,BEL,2015,25,non-eu,74365
benchmark,BEL,2015,30,eu,64998
benchmark,BEL,2015,30,native,537914
benchmark,BEL,2015,30,non-eu,93004
