scenario,year,dest,pop_total,pop_female,pop_male,sex_ratio,no_edu,some_primary,primary,low_second,upp_second,post_second,native,foriegn,foriegn_non_eu,foriegn_eu
rise-of-the-east,2050,LUX,1039874,514539,525335,102.0981888642066,3.088162604315523,3.5559115815954625,7.486868601388245,11.829125451737422,35.19551407189717,38.84441768906618,46.07712088195301,53.92287911804699,36.694349507728816,17.228529610318173
rise-of-the-east,2050,LVA,1814132,944422,869710,92.08912964755163,0.8751292629202285,1.2710761951170035,2.9713934818414534,10.370634551399787,41.308295096497936,43.203471412223585,81.07122304220421,18.928776957795794,17.53411548883984,1.3946614689559524
rise-of-the-east,2050,MLT,680111,323787,356324,110.04889016544827,3.7823237677379136,4.0339003486195635,5.949911117449946,19.26494351657303,29.863213504854354,37.10570774476519,55.72781501843082,44.27218498156918,39.10170545690336,5.170479524665827
rise-of-the-east,2050,NLD,19085727,9541782,9543945,100.02266872162873,1.282943007620302,1.4298747959666405,5.715071791606366,11.556667451022431,35.66520154039718,44.35024141338708,82.44283280380151,17.5571671961985,15.4416124677881,2.115554728410398
rise-of-the-east,2050,POL,31670165,16497114,15173051,91.97397193230282,0.06668736964269054,0.16339037071641402,4.099261876280089,4.669991457259537,48.284118507118606,42.71655041898266,97.99149136103333,2.008508638966674,1.6995964498448302,0.30891218912184387
rise-of-the-east,2050,PRT,9690406,5080088,4610318,90.75271924423356,1.874369350468907,3.3543589401723723,14.931799555147638,15.788574802748204,29.30847273065752,34.74242462080536,80.06950379581619,19.930496204183807,18.206811974647916,1.7236842295358934
rise-of-the-east,2050,ROU,15845496,8223854,7621642,92.67725326835811,0.43059554588887594,0.4899751954751053,1.9792375069862125,14.782074350970142,46.029256515542336,36.28886088513733,97.47807831323172,2.521921686768278,1.9057339700820977,0.6161877166861801
rise-of-the-east,2050,SVK,4949892,2547988,2401904,94.26669199383984,0.8791908995186157,0.4239284412670014,0.7228440539712786,7.313896949670822,56.723419420060075,33.936720235512205,94.04205182658531,5.957948173414692,4.271749767469674,1.6861984059450184
rise-of-the-east,2050,SVN,2115343,1067051,1048292,98.2419771875946,0.9134688795150478,1.0646973091361542,1.7373541784949296,10.403466482740624,49.267660138332175,36.61335301178107,81.93456096718121,18.06543903281879,15.538520230525263,2.5269188022935287
rise-of-the-east,2050,SWE,12379737,6172894,6206843,100.54996894487415,1.8853550766062317,1.8606211101253605,2.7218348822757705,11.627953000940165,34.84469015779576,47.05954577225671,75.3310510554465,24.668948944553506,21.984029224530378,2.684919720023131
ukraine-war,2015,AUT,8493555,4343612,4149943,95.54129144131657,14.440290314244153,0.35661157195073206,6.722544329200199,16.0458488818875,40.7174263309062,21.717278571811214,83.59663297641565,16.40336702358435,8.722554925469959,7.6808120981143935
ukraine-war,2015,BEL,10719400,5449307,5270093,96.71125154079225,17.843368098960763,2.1855980745190964,9.701634419836932,20.951461835550496,24.84090527454895,24.477032296583765,84.94643356904305,15.053566430956957,7.519012258148777,7.534554172808179
ukraine-war,2015,BGR,7195747,3697203,3498544,94.62677597091638,13.872208125160599,2.063774615755668,4.832771357859024,20.947248423270022,38.71998278983405,19.564014688120636,98.35516729534821,1.6448327046517897,1.0475493371292792,0.5972833675225102
ukraine-war,2015,CYP,830575,427396,403179,94.33382624076968,16.72720705535322,4.115943773891581,13.009661981157633,11.686482256268247,28.273063841314748,26.18764109201457,79.4663937633567,20.53360623664329,9.364115221382777,11.169491015260512
ukraine-war,2015,CZE,10263252,5228414,5034838,96.29761529978308,15.603280519663748,0.41271519007815455,0.47374847660371194,14.645971861550317,53.67028891037655,15.193995041727515,96.18421139810268,3.8157886018973324,2.3064521849409916,1.509336416956341
ukraine-war,2015,DEU,78423358,40014655,38408703,95.98659041293746,14.263710819421938,0.3325603578464467,6.681751628130997,15.025788617722796,38.02322899766674,25.67295957921108,89.64519346391671,10.354806536083293,5.169413939148079,5.185392596935214
ukraine-war,2015,DNK,5410109,2716763,2693346,99.13805510454905,17.778107612988943,0.21690875359442852,0.888059741495042,27.40366229220151,32.58108108357891,21.132180516141172,90.17631622579138,9.823683774208616,6.261685300610393,3.561998473598221
ukraine-war,2015,ESP,45882394,23351569,22530825,96.48527257418978,15.866319006806837,9.504667520182142,12.463220641887169,23.450827347849373,17.330137568671766,21.38482791460271,87.62747427695251,12.372525723047493,8.275806183958057,4.096719539089438
ukraine-war,2015,EST,1296042,692303,603739,87.20733551638517,16.178488042825773,0.694267624043048,5.010331455307775,14.213968374481691,33.875213920536524,30.027730582805184,85.44977709055726,14.55022290944275,13.224108477965993,1.3261144314767577
ukraine-war,2015,FIN,5390829,2734251,2656578,97.15925860500737,16.612009024957015,0.07575829246299595,0.24105754421073272,26.879650606613563,32.25680131942601,23.934723212329683,95.52855414260033,4.471445857399669,2.454149445289398,2.0172964121102708
ukraine-war,2015,FRA,66176066,34146152,32029914,93.8024114693802,18.63581162409987,1.1592952654514095,12.785970081690865,15.487543487399206,31.981224148319725,19.950155393038926,88.52115053197632,11.478849468023682,8.143571121317486,3.335278346706194
ukraine-war,2015,GBR,64381019,32685700,31695319,96.96998687499426,18.87308587023141,0.3491991948745018,0.8356251708286879,29.27501504752511,27.71209943104504,22.954975285495248,87.62389579450428,12.376104205495722,8.147637427111864,4.228466778383859
ukraine-war,2015,GRC,10801647,5562692,5238955,94.1802098696099,14.824415202607527,6.44404506090599,20.64258348749964,11.15615053889467,25.037126282686334,21.895679427405838,89.01510112300467,10.984898876995333,8.045550831276008,2.939348045719324
ukraine-war,2015,HRV,4178270,2163467,2014803,93.12843690243484,15.058050341409244,1.2731824415368083,1.8826691429706555,23.51123790468304,42.96644304939604,15.308417120004211,87.53632484257838,12.463675157421612,10.902359110349499,1.5613160470721137
ukraine-war,2015,HUN,9816295,5138803,4677492,91.02298725987356,14.546241733770227,0.5406622355990728,1.0924590183974707,26.034995892034622,39.464390587283695,18.321250532914913,95.55029672600509,4.449703273994924,1.4895844104114637,2.96011886358346
ukraine-war,2015,IRL,4491062,2270679,2220383,97.78497973513649,21.663183451931857,1.3905619650764116,11.021557929950644,16.57518867474998,23.828172490159343,25.521335488131758,83.88376735836646,16.116232641633538,4.5519300334753785,11.56430260815816
