scenario,dest,year,sex,nativity,pop
benchmark,CZE,2020,m,non-eu,161542
benchmark,CZE,2025,f,eu,68288
benchmark,CZE,2025,f,native,4964609
benchmark,CZE,2025,f,non-eu,168385
benchmark,CZE,2025,m,eu,89294
benchmark,CZE,2025,m,native,4713246
benchmark,CZE,2025,m,non-eu,189513
benchmark,CZE,2030,f,eu,68934
benchmark,CZE,2030,f,native,4872889
benchmark,CZE,2030,f,non-eu,196810
benchmark,CZE,2030,m,eu,85415
benchmark,CZE,2030,m,native,4614564
benchmark,CZE,2030,m,non-eu,218503
benchmark,CZE,2035,f,eu,68337
benchmark,CZE,2035,f,native,4762084
benchmark,CZE,2035,f,non-eu,224438
benchmark,CZE,2035,m,eu,80860
benchmark,CZE,2035,m,native,4503237
benchmark,CZE,2035,m,non-eu,247410
benchmark,CZE,2040,f,eu,66559
benchmark,CZE,2040,f,native,4653213
benchmark,CZE,2040,f,non-eu,250785
benchmark,CZE,2040,m,eu,75786
benchmark,CZE,2040,m,native,4402404
benchmark,CZE,2040,m,non-eu,276068
benchmark,CZE,2045,f,eu,63914
benchmark,CZE,2045,f,native,4553457
benchmark,CZE,2045,f,non-eu,276162
benchmark,CZE,2045,m,eu,70540
benchmark,CZE,2045,m,native,4316391
benchmark,CZE,2045,m,non-eu,305566
benchmark,CZE,2050,f,eu,60624
benchmark,CZE,2050,f,native,4459325
benchmark,CZE,2050,f,non-eu,300840
benchmark,CZE,2050,m,eu,65204
benchmark,CZE,2050,m,native,4234752
benchmark,CZE,2050,m,non-eu,337093
benchmark,DEU,2015,f,eu,2155079
benchmark,DEU,2015,f,native,35820049
benchmark,DEU,2015,f,non-eu,2039527
benchmark,DEU,2015,m,eu,1911480
benchmark,DEU,2015,m,native,34482722
benchmark,DEU,2015,m,non-eu,2014501
benchmark,DEU,2020,f,eu,1957452
benchmark,DEU,2020,f,native,35552203
benchmark,DEU,2020,f,non-eu,2275307
benchmark,DEU,2020,m,eu,1782893
benchmark,DEU,2020,m,native,34433831
benchmark,DEU,2020,m,non-eu,2191283
